year;month;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31
2016;01;-1.5;-1.5;-6.1;-5.5;-5.3;-2.6;1.0;1.6;1.1;2.1;2.1;7.4;5.6;5.5;5.0;2.3;-0.3;-0.8;-3.4;-3.2;-1.5;-1.3;-4.5;3.2;1.2;6.3;6.3;10.6;10.2;8.3;6.7
2016;02;8.6;10.5;8.1;6.5;5.6;10.3;10.1;9.6;12.6;10.3;8.3;6.1;7.4;9.2;8.2;7.0;6.0;8.2;5.8;8.5;14.6;17.7;12.0;5.9;5.2;5.8;5.1;9.8;6.6;;
2016;03;5.1;6.6;5.6;7.0;10.8;9.4;5.7;4.2;6.7;10.3;8.5;9.3;6.1;10.0;5.6;6.6;11.9;14.2;9.0;7.9;10.1;10.4;9.2;8.2;10.1;10.9;14.2;14.9;16.4;15.8;21.4
2016;04;15.9;14.9;19.5;21.4;23.6;18.2;14.2;13.0;8.0;9.3;13.8;14.8;19.5;14.9;14.5;19.7;21.2;13.3;14.8;13.9;16.9;18.6;15.8;11.1;9.5;14.1;7.4;10.6;14.8;18.1;
2016;05;17.7;18.9;15.0;12.5;19.7;21.7;22.0;20.4;21.7;20.3;21.6;17.3;16.5;20.8;15.3;13.1;13.2;16.9;19.1;21.0;23.3;25.8;26.5;20.8;22.6;23.3;25.6;26.9;27.3;24.4;24.7
2016;06;23.3;22.8;22.5;25.0;26.5;24.2;23.0;25.6;23.1;23.7;20.4;22.6;22.1;24.6;19.1;26.8;22.3;25.7;26.6;19.8;25.3;28.2;30.1;32.5;32.9;26.7;20.1;25.3;29.7;30.6;
2016;07;29.1;31.8;23.3;24.2;27.5;23.2;24.1;27.6;27.1;29.9;34.8;29.5;26.5;19.3;19.2;19.7;24.9;26.7;26.0;26.9;28.8;28.5;30.3;28.1;29.7;29.7;29.5;26.1;28.3;30.2;30.6
2016;08;23.3;25.7;25.1;29.4;24.6;24.7;25.8;27.5;24.8;16.8;19.3;19.9;23.3;28.8;25.4;23.5;22.3;25.2;25.8;27.7;21.9;21.4;25.8;25.7;26.6;26.9;28.5;29.6;27.4;24.6;25.0
2016;09;26.5;27.2;27.4;28.7;23.1;19.7;25.7;27.9;29.4;29.6;29.6;30.4;29.4;28.6;28.0;26.1;21.7;19.8;19.4;17.1;19.1;19.2;20.6;21.5;21.3;21.3;22.1;23.6;25.6;26.4;
2016;10;24.2;18.2;16.6;13.5;10.1;10.4;10.1;10.8;11.6;10.6;8.7;9.4;8.6;11.4;16.8;18.4;10.0;9.9;10.5;9.1;7.8;10.6;11.3;14.2;16.5;13.7;10.8;11.7;12.7;11.3;11.5
2016;11;13.9;9.6;7.5;7.5;8.1;9.0;7.5;6.1;5.7;3.9;6.5;4.1;4.1;4.5;0.7;2.4;4.8;9.1;10.7;10.5;12.4;13.4;9.9;8.7;8.1;9.1;7.9;3.4;3.2;-0.5;
2016;12;4.9;6.2;4.2;0.9;0.1;1.5;2.5;-1.2;1.5;9.0;8.9;8.6;-1.0;1.7;2.1;1.4;-1.0;0.6;-0.2;-2.0;-3.4;-3.1;-1.7;0.5;5.8;10.3;7.1;5.2;3.7;1.3;-4.1
2017;01;-6.0;-4.7;1.7;3.3;1.9;-5.5;-7.2;-7.5;-3.6;-6.5;-4.4;4.5;4.9;2.4;2.0;-2.5;-0.4;-1.7;-5.9;-3.8;-1.6;-0.9;-3.0;-3.9;-0.1;0.9;-1.6;-6.1;-6.0;-6.9;-4.2
